Date,Close
02-04-2012,276.8
03-04-2012,281.25
04-04-2012,278.55
09-04-2012,275.6
10-04-2012,283.75
11-04-2012,283.05
12-04-2012,286.2
13-04-2012,289.3
16-04-2012,300.7
17-04-2012,301.35
18-04-2012,309.75
19-04-2012,319.25
20-04-2012,316.65
23-04-2012,309.75
24-04-2012,311.85
25-04-2012,313.95
26-04-2012,312.1
27-04-2012,312.65
28-04-2012,313.1
30-04-2012,316.55
02-05-2012,304.5
03-05-2012,300.95
04-05-2012,301.8
07-05-2012,308.4
08-05-2012,296.4
09-05-2012,292.85
10-05-2012,289.2
11-05-2012,297.5
14-05-2012,290.6
15-05-2012,290.35
16-05-2012,269
17-05-2012,271.15
18-05-2012,259.9
21-05-2012,261.85
22-05-2012,265.1
23-05-2012,261.45
24-05-2012,267
25-05-2012,269.05
28-05-2012,276.6
29-05-2012,275.75
30-05-2012,243.05
31-05-2012,233
01-06-2012,224.55
04-06-2012,228.85
05-06-2012,221.65
06-06-2012,234.4
07-06-2012,236.45
08-06-2012,239.2
11-06-2012,235.5
12-06-2012,242.95
13-06-2012,237.4
14-06-2012,226.7
15-06-2012,240.3
18-06-2012,237.95
19-06-2012,238.15
20-06-2012,245.95
21-06-2012,248.2
22-06-2012,247.1
25-06-2012,246.2
26-06-2012,246.7
27-06-2012,239.2
28-06-2012,240.35
29-06-2012,242.45
02-07-2012,237.95
03-07-2012,237.55
04-07-2012,236.2
05-07-2012,240
06-07-2012,240.65
09-07-2012,240.85
10-07-2012,246.5
11-07-2012,241.45
12-07-2012,236.8
13-07-2012,235.95
16-07-2012,229.25
17-07-2012,225.9
18-07-2012,221.6
19-07-2012,224.8
20-07-2012,223.4
23-07-2012,216.05
24-07-2012,215.85
25-07-2012,213
26-07-2012,205.1
27-07-2012,212.85
30-07-2012,221.7
31-07-2012,226.25
01-08-2012,227.35
02-08-2012,222.7
03-08-2012,220.95
06-08-2012,229.05
07-08-2012,238.8
08-08-2012,241.5
09-08-2012,239.3
10-08-2012,231.95
13-08-2012,228.25
14-08-2012,235
16-08-2012,235.45
17-08-2012,240.2
21-08-2012,246.2
22-08-2012,248.1
23-08-2012,245.3
24-08-2012,246.05
27-08-2012,241.05
28-08-2012,237.3
29-08-2012,233.4
30-08-2012,236.75
31-08-2012,234.3
03-09-2012,230.9
04-09-2012,234.85
05-09-2012,228.7
06-09-2012,233.05
07-09-2012,243.3
08-09-2012,245.7
10-09-2012,248.9
11-09-2012,249.8
12-09-2012,263.25
13-09-2012,259.4
14-09-2012,270.3
17-09-2012,277.85
18-09-2012,273.5
20-09-2012,271.6
21-09-2012,275.45
24-09-2012,273.7
25-09-2012,268.9
26-09-2012,263.1
27-09-2012,259.8
28-09-2012,267.55
01-10-2012,274.7
03-10-2012,273.5
04-10-2012,274.3
05-10-2012,280.55
08-10-2012,272.45
09-10-2012,269.7
10-10-2012,267.45
11-10-2012,273.8
12-10-2012,271.25
15-10-2012,269.4
16-10-2012,262.3
17-10-2012,264.9
18-10-2012,270.25
19-10-2012,269
22-10-2012,267.05
23-10-2012,264.6
25-10-2012,261.25
26-10-2012,261.5
29-10-2012,256.75
30-10-2012,247.65
31-10-2012,254.75
01-11-2012,267.45
02-11-2012,270.05
05-11-2012,269.8
06-11-2012,266.95
07-11-2012,269.35
08-11-2012,283.95
09-11-2012,280.6
12-11-2012,280.75
13-11-2012,277.55
15-11-2012,272.25
16-11-2012,265
19-11-2012,264.1
20-11-2012,266.1
21-11-2012,265.5
22-11-2012,258.75
23-11-2012,260.5
26-11-2012,263.2
27-11-2012,266.65
29-11-2012,278.45
30-11-2012,273.45
03-12-2012,272.1
04-12-2012,271.55
05-12-2012,274.95
06-12-2012,280.85
07-12-2012,281.9
10-12-2012,279.95
11-12-2012,278.1
12-12-2012,276.5
13-12-2012,287.9
14-12-2012,292.1
17-12-2012,294.05
18-12-2012,298.35
19-12-2012,307.75
20-12-2012,304.9
21-12-2012,299.4
24-12-2012,306.95
26-12-2012,306.1
27-12-2012,309.2
28-12-2012,310.05
31-12-2012,312.65
01-01-2013,316.75
02-01-2013,318
03-01-2013,318.1
04-01-2013,315.4
07-01-2013,313.25
08-01-2013,314.15
09-01-2013,327.35
10-01-2013,333.7
11-01-2013,330.4
14-01-2013,327.7
15-01-2013,331.55
16-01-2013,320.05
17-01-2013,328.95
18-01-2013,328.55
21-01-2013,323.25
22-01-2013,318.55
23-01-2013,313.05
24-01-2013,293.45
25-01-2013,301
28-01-2013,308.55
29-01-2013,304.25
30-01-2013,299.2
31-01-2013,298
01-02-2013,281.65
04-02-2013,292
05-02-2013,287.2
06-02-2013,286.2
07-02-2013,288.6
08-02-2013,285.4
11-02-2013,290.9
12-02-2013,298.55
13-02-2013,304.7
14-02-2013,297.2
15-02-2013,304.45
18-02-2013,305.8
19-02-2013,306.75
20-02-2013,303.95
21-02-2013,297.55
22-02-2013,292.9
25-02-2013,299.15
26-02-2013,289.4
27-02-2013,286.25
28-02-2013,287.55
01-03-2013,288.4
04-03-2013,289.75
05-03-2013,300.5
06-03-2013,309.4
07-03-2013,305.9
08-03-2013,303.8
11-03-2013,301.55
12-03-2013,304.7
13-03-2013,301
14-03-2013,301
15-03-2013,291.1
18-03-2013,286.85
19-03-2013,281.6
20-03-2013,285.65
21-03-2013,273.6
22-03-2013,270.35
25-03-2013,270.75
26-03-2013,275.8
28-03-2013,269.15
01-04-2013,265.5
02-04-2013,267.2
03-04-2013,257.2
04-04-2013,257.7
05-04-2013,255.2
08-04-2013,256.7
09-04-2013,262.85
10-04-2013,268
11-04-2013,278.15
12-04-2013,275.15
15-04-2013,269
16-04-2013,270.95
17-04-2013,271.2
18-04-2013,282.45
22-04-2013,285.25
23-04-2013,281.5
25-04-2013,293.3
26-04-2013,292
26-04-2013,296.3
29-04-2013,296.15
30-04-2013,300
02-05-2013,297.35
03-05-2013,285.6
06-05-2013,291.05
07-05-2013,298.4
08-05-2013,300.25
09-05-2013,300.1
10-05-2013,309.05
11-05-2013,307.55
13-05-2013,297.45
14-05-2013,300.3
15-05-2013,308.85
16-05-2013,303.65
17-05-2013,303.35
20-05-2013,302.05
21-05-2013,292.95
22-05-2013,291.15
23-05-2013,291.05
24-05-2013,288.1
27-05-2013,294.5
28-05-2013,295.8
29-05-2013,303.8
30-05-2013,317.05
31-05-2013,313.3
03-06-2013,314.05
04-06-2013,306.1
05-06-2013,307.3
06-06-2013,306.7
07-06-2013,301.9
10-06-2013,296.05
11-06-2013,293.15
12-06-2013,293.55
13-06-2013,282.95
14-06-2013,296.8
17-06-2013,299.45
18-06-2013,297.6
19-06-2013,292.1
20-06-2013,288.75
21-06-2013,287.05
24-06-2013,283.9
25-06-2013,281.45
26-06-2013,272.65
27-06-2013,270.3
28-06-2013,281.3
01-07-2013,289.8
02-07-2013,286.45
03-07-2013,284.2
04-07-2013,292.3
05-07-2013,296.2
08-07-2013,287.8
09-07-2013,289.1
10-07-2013,284.05
11-07-2013,284.9
12-07-2013,292.5
15-07-2013,288.45
16-07-2013,291.55
17-07-2013,285.25
18-07-2013,286.9
19-07-2013,294.65
22-07-2013,297.85
23-07-2013,298.8
24-07-2013,297.3
25-07-2013,299.9
26-07-2013,289.95
29-07-2013,295.75
30-07-2013,284.9
31-07-2013,290.5
01-08-2013,288.95
02-08-2013,290.45
05-08-2013,284.75
06-08-2013,287.55
07-08-2013,278.9
08-08-2013,278.8
12-08-2013,281.3
13-08-2013,290.85
14-08-2013,319.1
16-08-2013,313.95
19-08-2013,301.7
20-08-2013,287.95
21-08-2013,283.35
22-08-2013,291.95
23-08-2013,300.95
26-08-2013,298.1
27-08-2013,290.05
28-08-2013,297.95
29-08-2013,306
