Date,Open,High,Low,Close,Adj Close,Volume
01-01-1996,16.0098,16.095699,15.9043,16.0683,2.426239,47600787
02-01-1996,16.029301,16.107401,15.8262,15.9434,2.40738,77143764
03-01-1996,16.205,16.943001,16.029301,16.0644,2.42565,95695836
04-01-1996,15.9121,15.9629,15.7013,15.916,2.403243,99159504
05-01-1996,15.8536,15.8536,15.67,15.8067,2.386739,76213503
08-01-1996,15.7755,15.7872,15.0179,15.1741,2.291219,85478335
09-01-1996,14.7251,14.9945,14.2331,14.7368,2.225189,177730990
10-01-1996,14.4478,14.7954,14.2916,14.358,2.167992,126455257
11-01-1996,14.2135,14.8774,14.194,14.8071,2.235804,187276245
12-01-1996,14.9164,15.0296,14.5533,14.6509,2.212218,171294714
15-01-1996,14.6079,14.6821,14.4166,14.4986,2.189222,91424832
16-01-1996,14.4478,14.604,14.401,14.5259,2.193344,99318282
17-01-1996,14.4478,14.4674,13.827,13.948,2.106083,136980711
18-01-1996,13.5927,13.8153,13.417,13.5614,2.047709,172581585
19-01-1996,13.374,13.5419,13.2334,13.3232,2.011742,148366639
22-01-1996,13.3662,13.7254,13.3545,13.5497,2.045942,154802916
23-01-1996,13.5966,13.6552,12.2611,12.9757,1.959271,162257165
24-01-1996,12.8625,12.9406,12.3392,12.5306,1.892063,160550300
25-01-1996,12.5032,12.5579,11.9292,12.0034,1.812458,164971119
26-01-1996,null,null,null,null,null,null
29-01-1996,11.9487,13.0616,11.8746,12.9484,1.955149,298484960
30-01-1996,13.3545,14.7602,13.1592,14.112,2.130847,485481422
31-01-1996,13.9793,14.5064,13.4521,13.8035,2.084265,334445006
01-02-1996,13.6669,14.4478,13.6278,14.358,2.167992,292779831
02-02-1996,14.7407,16.0879,14.7407,15.916,2.403243,374293835
05-02-1996,16.790701,17.587299,16.287001,17.239799,2.60313,558877894
06-02-1996,17.6537,17.9622,15.4319,15.795,2.384972,567944894
07-02-1996,14.9203,16.243999,14.7641,16.0879,2.429199,409365875
08-02-1996,16.2519,17.778601,16.0879,17.493601,2.641454,375632565
